"AMAC";"American Medical Alert Corp.";"5.56";"53481640";"n/a";"Consumer Services";"Other Consumer Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMAC&selected=AMAC"
"AMNB";"American National Bankshares, Inc.";"18.91";"116353230";"n/a";"Finance";"Major Banks";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMNB&selected=AMNB"
"ANAT";"American National Insurance Company";"76.48";"2051270080";"n/a";"Finance";"Life Insurance";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ANAT&selected=ANAT"
"APFC";"American Pacific Corporation";"8.39";"63428400";"n/a";"Basic Industries";"Major Chemicals";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=APFC&selected=APFC"
"APEI";"American Public Education, Inc.";"47.85";"855701550";"2007";"Consumer Services";"Other Consumer Services";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=APEI&selected=APEI"
"ARII";"American Railcar Industries, Inc.";"23.83";"508818160";"2006";"Capital Goods";"Railroads";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ARII&selected=ARII"
"AMRB";"American River Bankshares";"6.14";"60620220";"n/a";"Finance";"Major Banks";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMRB&selected=AMRB"
"ASEI";"American Science and Engineering, Inc.";"81.01";"735489790";"n/a";"Health Care";"Medical Electronics";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASEI&selected=ASEI"
"AMSWA";"American Software, Inc.";"8.48";"196371360";"n/a";"Technology";"Computer Software: Prepackaged Software";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMSWA&selected=AMSWA"
"AMSC";"American Superconductor Corporation";"7.7";"390405400";"1991";"Consumer Durables";"Metal Fabrications";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMSC&selected=AMSC"
"AMWD";"American Woodmark Corporation";"17.74";"253327200";"1986";"Basic Industries";"Forest Products";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMWD&selected=AMWD"
"CRMT";"America's Car-Mart, Inc.";"36.55";"387539650";"n/a";"Consumer Durables";"Automotive Aftermarket";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRMT&selected=CRMT"
"ARGN";"Amerigon Incorporated";"17.73";"394297470";"n/a";"Capital Goods";"Auto Parts:O.E.M.";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ARGN&selected=ARGN"
"ABCB";"Ameris Bancorp";"9.23";"219360180";"1994";"Finance";"Major Banks";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABCB&selected=ABCB"
"AMSF";"AMERISAFE, Inc.";"22.81";"419612760";"2005";"Finance";"Property-Casualty Insurers";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMSF&selected=AMSF"
"ASRV";"AmeriServ Financial Inc.";"2.06";"43688480";"n/a";"Finance";"Major Banks";"http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASRV&selected=ASRV"
